time	ntp_time	seq_number	A1	A2	A3	A4	A5	A6	A7	AT	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	BT	D1	D2	D3	D4	D5	D6	D7	DT	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	ET	TempArmário
0.076	2023-05-16 11:49:04	60.0	139.62	168.46	137.45	143.82	107.77	162.55	78.24	25.86	117.57	122.72	61.22	157.29	149.99	158.45	92.13	149.64	31.24	38.46	109.7	114.56	173.45	109.01	104.82	25.7	72.14	157.49	138.45	10.33	68.4	-74.39	303.02	24.7	91.37	75.67	30.77	163.76	135.02	93.01	98.07	71.03	7.064	-56.3	-23.2	58.34	60.29	109.46	333.88	24.8	1525.2
0.078	2023-05-16 11:49:04	60.0	139.62	167.75	138.36	144.53	108.97	163.54	78.44	25.93	116.75	120.88	61.93	155.37	149.09	158.45	91.33	148.24	32.03	37.47	109.7	113.09	173.75	106.77	104.82	25.74	72.75	156.27	138.65	9.932	67.1	-74.39	303.42	24.85	90.14	74.65	30.77	163.05	135.33	93.01	97.67	70.73	8.258	-57.39	-23.3	57.66	60.19	109.07	333.88	24.75	1525.2
0.08	2023-05-16 11:49:04	60.0	140.24	167.14	137.75	145.03	108.17	162.94	77.06	25.95	116.24	120.47	61.32	156.18	149.99	157.45	90.93	150.24	31.53	36.68	109.11	113.38	173.45	107.94	104.04	25.75	73.37	157.9	138.05	9.33	69.0	-75.38	302.83	24.78	90.04	73.93	30.46	163.86	134.32	93.81	97.97	70.63	7.462	-57.79	-24.48	57.95	59.99	108.68	334.46	24.78	1525.2
0.082	2023-05-16 11:49:04	60.0	139.42	168.26	138.36	144.32	108.57	162.55	77.26	25.88	117.37	121.39	61.32	156.79	149.79	158.65	93.03	149.04	32.13	37.86	108.91	114.17	173.84	108.72	105.02	25.65	72.14	157.59	139.06	11.44	68.6	-74.98	302.63	24.83	90.76	73.63	32.19	163.86	134.52	93.41	97.67	71.63	7.76	-57.0	-23.2	58.25	60.78	109.16	334.07	24.74	1525.2
0.084	2023-05-16 11:49:04	60.0	139.42	167.85	138.36	145.03	108.97	162.55	78.04	25.86	117.26	121.7	61.93	156.18	149.69	157.35	92.03	148.24	31.63	38.46	108.91	113.88	174.43	106.77	106.09	25.73	72.75	155.97	138.45	10.93	66.41	-75.38	302.33	24.75	90.86	74.34	30.77	163.55	134.72	92.5	98.37	70.63	7.064	-57.0	-24.09	57.95	60.78	109.07	333.49	24.75	1525.2
0.086	2023-05-16 11:49:04	60.0	139.42	167.45	138.15	145.23	109.26	162.74	77.06	25.96	116.65	122.11	60.81	156.08	149.29	157.45	91.13	148.24	30.34	38.06	109.5	114.66	174.43	107.94	105.21	25.69	73.37	156.27	138.45	9.932	67.6	-74.98	303.12	24.87	90.24	73.73	30.15	163.05	134.82	92.81	98.37	70.73	7.462	-57.2	-24.68	57.66	61.17	109.65	333.88	24.71	1525.2
0.088	2023-05-16 11:49:04	60.0	139.21	167.65	137.95	145.23	109.56	162.74	78.24	25.86	116.65	121.09	61.42	156.08	148.98	158.25	92.33	148.74	32.13	37.27	108.51	113.97	174.53	106.77	105.79	25.73	72.75	156.68	137.95	10.33	66.8	-75.58	302.63	24.75	90.14	74.34	31.38	163.45	135.93	92.6	97.47	70.83	7.163	-56.4	-24.78	57.16	60.78	108.29	333.1	24.83	1525.2
0.09	2023-05-16 11:49:04	60.0	139.83	167.45	137.55	145.03	109.16	162.94	77.06	25.88	116.13	119.76	61.42	155.97	149.79	157.14	92.03	149.14	31.43	37.67	110.29	113.88	173.75	106.58	105.4	25.73	73.37	157.08	138.45	10.53	67.4	-75.08	303.32	24.8	90.55	73.63	30.97	162.64	134.52	91.8	99.48	71.33	6.765	-57.79	-22.71	58.15	61.07	109.85	333.1	24.75	1525.2
0.092	2023-05-16 11:49:04	60.0	138.8	168.16	137.55	145.63	108.17	162.74	77.16	25.82	116.85	121.7	60.81	155.37	149.59	157.85	92.03	148.44	29.94	37.27	109.5	112.4	174.24	108.23	104.43	25.8	73.98	156.07	138.45	10.33	67.4	-74.59	302.63	24.73	90.55	74.24	30.56	162.64	134.92	92.2	97.47	70.83	7.263	-57.2	-23.89	58.74	60.78	108.29	334.65	24.9	1525.2
0.094	2023-05-16 11:49:04	60.0	139.42	167.85	138.66	145.23	108.37	162.94	78.04	26.0	116.75	120.37	61.93	156.08	150.1	157.24	91.73	150.54	30.54	37.86	109.3	112.99	174.53	107.94	105.6	25.71	73.37	156.58	139.16	10.93	69.1	-75.38	302.63	24.9	90.45	74.24	30.46	163.45	135.33	92.2	97.67	71.23	6.666	-57.2	-24.29	57.16	60.19	109.85	334.07	24.74	1525.2
0.096	2023-05-16 11:49:04	60.0	139.01	168.67	138.76	145.13	108.67	162.15	76.96	25.92	116.65	120.27	60.81	155.97	150.5	156.64	90.93	148.74	30.34	38.26	108.61	114.56	174.04	108.72	105.21	25.7	73.37	156.68	138.45	10.93	68.3	-73.2	302.23	24.84	90.14	73.32	31.78	162.84	135.33	91.8	97.27	71.63	6.666	-56.1	-23.99	58.93	62.15	108.29	333.88	24.79	1525.2
