Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [nm]	A2 [nm]	A3 [nm]	A4 [nm]	A5 [nm]	A6 [nm]	A7 [nm]	AT [°C]	B1 [nm]	B2 [nm]	B3 [nm]	B4 [nm]	B5 [nm]	B6 [nm]	B7 [nm]	B8 [nm]	B9 [nm]	B10 [nm]	B11 [nm]	B12 [nm]	B13 [nm]	B14 [nm]	B15 [nm]	BT [°C]	D1 [nm]	D2 [nm]	D3 [nm]	D4 [nm]	D5 [nm]	D6 [nm]	D7 [nm]	DT [°C]	E1 [nm]	E2 [nm]	E3 [nm]	E4 [nm]	E5 [nm]	E6 [nm]	E7 [nm]	E8 [nm]	E9 [nm]	E10 [nm]	E11 [nm]	E12 [nm]	E13 [nm]	E14 [nm]	E15 [nm]	ET [°C]	TempArmário [nm]
0,06800	1684237743	60,00	139,01	168,67	138,66	144,83	109,26	162,94	77,06	25,80	117,06	120,06	61,83	156,18	150,70	158,45	91,73	148,84	31,93	37,86	108,71	113,78	175,61	108,43	104,43	25,78	72,14	156,88	138,45	11,44	67,40	-76,27	302,63	24,73	90,24	74,34	31,48	164,06	134,72	93,41	97,67	71,93	7,860	-57,00	-23,69	58,74	61,56	109,55	334,46	24,87	1525,2	
0,07000	1684237743	60,00	139,62	167,75	138,76	146,03	108,17	161,56	78,24	25,86	116,34	120,37	62,03	155,16	148,88	158,86	91,13	150,24	29,94	38,26	109,30	113,78	174,04	107,36	105,31	25,71	72,14	156,47	138,45	10,53	68,90	-75,18	302,14	24,75	89,93	73,63	32,09	162,84	135,33	92,81	98,17	71,63	7,263	-57,59	-24,29	56,57	60,97	110,24	333,10	24,80	1525,2	
0,07200	1684237743	60,00	139,42	167,85	138,25	145,13	108,67	162,15	76,47	25,93	115,93	122,11	60,81	156,08	149,59	158,25	91,03	147,94	31,24	36,97	109,40	113,97	173,45	107,36	105,02	25,70	72,75	155,66	137,85	11,14	67,10	-74,39	303,02	24,82	89,93	75,26	30,97	163,45	135,23	93,21	99,68	70,63	7,661	-57,79	-23,50	58,25	60,39	108,68	334,26	24,79	1525,2	
0,07400	1684237743	60,00	140,24	167,85	138,36	145,43	109,16	161,75	77,06	25,96	116,65	120,68	61,22	155,97	149,39	158,86	92,13	148,84	30,74	37,57	108,71	114,17	173,75	106,87	105,02	25,64	73,37	156,88	138,55	10,53	67,20	-74,29	302,43	24,87	90,86	74,34	30,46	164,47	134,92	93,21	97,87	72,03	7,163	-57,20	-23,69	57,56	61,95	109,85	333,88	24,73	1525,2	
0,07600	1684237744	60,00	139,62	168,46	137,45	143,82	107,77	162,55	78,24	25,86	117,57	122,72	61,22	157,29	149,99	158,45	92,13	149,64	31,24	38,46	109,70	114,56	173,45	109,01	104,82	25,70	72,14	157,49	138,45	10,33	68,40	-74,39	303,02	24,70	91,37	75,67	30,77	163,76	135,02	93,01	98,07	71,03	7,064	-56,30	-23,20	58,34	60,29	109,46	333,88	24,80	1525,2	
0,07800	1684237744	60,00	139,62	167,75	138,36	144,53	108,97	163,54	78,44	25,93	116,75	120,88	61,93	155,37	149,09	158,45	91,33	148,24	32,03	37,47	109,70	113,09	173,75	106,77	104,82	25,74	72,75	156,27	138,65	9,932	67,10	-74,39	303,42	24,85	90,14	74,65	30,77	163,05	135,33	93,01	97,67	70,73	8,258	-57,39	-23,30	57,66	60,19	109,07	333,88	24,75	1525,2	
0,08000	1684237744	60,00	140,24	167,14	137,75	145,03	108,17	162,94	77,06	25,95	116,24	120,47	61,32	156,18	149,99	157,45	90,93	150,24	31,53	36,68	109,11	113,38	173,45	107,94	104,04	25,75	73,37	157,90	138,05	9,330	69,00	-75,38	302,83	24,78	90,04	73,93	30,46	163,86	134,32	93,81	97,97	70,63	7,462	-57,79	-24,48	57,95	59,99	108,68	334,46	24,78	1525,2	
0,08200	1684237744	60,00	139,42	168,26	138,36	144,32	108,57	162,55	77,26	25,88	117,37	121,39	61,32	156,79	149,79	158,65	93,03	149,04	32,13	37,86	108,91	114,17	173,84	108,72	105,02	25,65	72,14	157,59	139,06	11,44	68,60	-74,98	302,63	24,83	90,76	73,63	32,19	163,86	134,52	93,41	97,67	71,63	7,760	-57,00	-23,20	58,25	60,78	109,16	334,07	24,74	1525,2	
0,08400	1684237744	60,00	139,42	167,85	138,36	145,03	108,97	162,55	78,04	25,86	117,26	121,70	61,93	156,18	149,69	157,35	92,03	148,24	31,63	38,46	108,91	113,88	174,43	106,77	106,09	25,73	72,75	155,97	138,45	10,93	66,41	-75,38	302,33	24,75	90,86	74,34	30,77	163,55	134,72	92,50	98,37	70,63	7,064	-57,00	-24,09	57,95	60,78	109,07	333,49	24,75	1525,2	
0,08600	1684237744	60,00	139,42	167,45	138,15	145,23	109,26	162,74	77,06	25,96	116,65	122,11	60,81	156,08	149,29	157,45	91,13	148,24	30,34	38,06	109,50	114,66	174,43	107,94	105,21	25,69	73,37	156,27	138,45	9,932	67,60	-74,98	303,12	24,87	90,24	73,73	30,15	163,05	134,82	92,81	98,37	70,73	7,462	-57,20	-24,68	57,66	61,17	109,65	333,88	24,71	1525,2	
0,08800	1684237744	60,00	139,21	167,65	137,95	145,23	109,56	162,74	78,24	25,86	116,65	121,09	61,42	156,08	148,98	158,25	92,33	148,74	32,13	37,27	108,51	113,97	174,53	106,77	105,79	25,73	72,75	156,68	137,95	10,33	66,80	-75,58	302,63	24,75	90,14	74,34	31,38	163,45	135,93	92,60	97,47	70,83	7,163	-56,40	-24,78	57,16	60,78	108,29	333,10	24,83	1525,2	
0,09000	1684237744	60,00	139,83	167,45	137,55	145,03	109,16	162,94	77,06	25,88	116,13	119,76	61,42	155,97	149,79	157,14	92,03	149,14	31,43	37,67	110,29	113,88	173,75	106,58	105,40	25,73	73,37	157,08	138,45	10,53	67,40	-75,08	303,32	24,80	90,55	73,63	30,97	162,64	134,52	91,80	99,48	71,33	6,765	-57,79	-22,71	58,15	61,07	109,85	333,10	24,75	1525,2	
0,09200	1684237744	60,00	138,80	168,16	137,55	145,63	108,17	162,74	77,16	25,82	116,85	121,70	60,81	155,37	149,59	157,85	92,03	148,44	29,94	37,27	109,50	112,40	174,24	108,23	104,43	25,80	73,98	156,07	138,45	10,33	67,40	-74,59	302,63	24,73	90,55	74,24	30,56	162,64	134,92	92,20	97,47	70,83	7,263	-57,20	-23,89	58,74	60,78	108,29	334,65	24,90	1525,2	
0,09400	1684237744	60,00	139,42	167,85	138,66	145,23	108,37	162,94	78,04	26,00	116,75	120,37	61,93	156,08	150,10	157,24	91,73	150,54	30,54	37,86	109,30	112,99	174,53	107,94	105,60	25,71	73,37	156,58	139,16	10,93	69,10	-75,38	302,63	24,90	90,45	74,24	30,46	163,45	135,33	92,20	97,67	71,23	6,666	-57,20	-24,29	57,16	60,19	109,85	334,07	24,74	1525,2	
0,09600	1684237744	60,00	139,01	168,67	138,76	145,13	108,67	162,15	76,96	25,92	116,65	120,27	60,81	155,97	150,50	156,64	90,93	148,74	30,34	38,26	108,61	114,56	174,04	108,72	105,21	25,70	73,37	156,68	138,45	10,93	68,30	-73,20	302,23	24,84	90,14	73,32	31,78	162,84	135,33	91,80	97,27	71,63	6,666	-56,10	-23,99	58,93	62,15	108,29	333,88	24,79	1525,2	
0,09800	1684237744	60,00	139,62	167,85	138,36	144,93	109,56	162,94	77,06	25,98	117,06	122,11	61,93	156,58	148,88	156,64	91,73	147,44	30,84	37,96	109,70	114,17	174,63	107,36	105,79	25,58	72,14	156,88	138,55	11,14	67,60	-75,18	303,02	24,88	90,35	74,34	30,97	163,35	135,33	92,81	98,37	71,13	6,467	-57,00	-23,40	57,95	60,68	109,36	334,07	24,68	1525,2	
0,1000	1684237744	60,00	139,21	169,07	138,15	144,32	108,77	163,14	77,26	25,91	117,47	121,60	60,60	156,58	150,60	157,95	91,43	149,84	31,83	37,86	109,30	114,37	174,04	107,16	105,50	25,70	72,75	157,49	137,95	9,932	67,40	-75,38	302,83	24,80	90,55	74,65	30,46	164,06	134,82	93,21	98,67	72,03	7,462	-56,60	-23,69	58,25	60,39	109,16	333,68	24,79	1525,2	
0,1020	1684237744	60,00	139,42	168,06	137,45	145,43	108,37	162,94	76,47	25,96	116,85	121,80	61,32	157,29	149,59	157,45	91,93	150,04	30,54	37,27	109,70	113,19	173,84	107,65	106,38	25,63	72,75	157,90	137,95	10,33	67,40	-75,18	302,83	24,87	90,65	75,06	31,78	162,95	135,23	92,60	98,17	71,73	7,362	-56,80	-23,89	57,66	61,27	109,16	334,46	24,73	1525,2	
